ScanList Name,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20,Channel 21,Channel 22,Channel 23,Channel 24,Channel 25,Channel 26,Channel 27,Channel 28,Channel 29,Channel 30,Channel 31,Priority1,Priority2,TX Channel,Signal Hold,Priority Sample
VK4RTQ,'4RTQ TG1 WW,'4RTQ TG3801 ACT,'4RTQ TG8 StatWid,'4RTQ TG9 S1 LOC,'4RTQ TG13 WWE,'4RTQ TG113 UA,'4RTQ TG123 UA,'4RTQ TG153 SthPc,'4RTQ TG505 AU,'4RTQ TG3802 NSW,'4RTQ TG3804 QLD,'4RTQ TG3806 WA,'4RTQ TG3807 Tas,'4RTQ TG3803 Vic,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK4RDU,'4RDU TG1 WW CALL,'4RDU TG3801 ACT,'4RDU TG8 QLD S1,'4RDU TG9 S1 LOC,'4RDU TG13 WW,'4RDU TG113 UA,'4RDU TG123 UA,'4RDU TG153 SthPc,'4RDU TG505 AU,'4RDU TG3802 NSW,'4RDU TG3804 Qld,'4RDU TG3806 WA,'4RDU TG3807 Tas,'4RDU TG3803 Vic,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK4REG,'4REG TG1 WW CALL,'4REG TG3801 ACT,'4REG TG8 StatWid,'4REG TG9 S1 LOC,'4REG TG13 WWE,'4REG TG113 UA,'4REG TG123 UA,'4REG TG153 SthPc,'4REG TG505 AU,'4REG TG3802 NSW,'4REG TG3804 Qld,'4REG TG3805 SA,'4REG TG3806 WA,'4REG TG3807 Tas,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK4RBK,'4RBT TG8 StatWid,'4RBK TG9 S1 Locl,'4RBK TG13 WWE,'4RBK TG113 UA,'4RBK TG123 UA,'4RBK TG133 USA,'4RBK TG143 UK,'4RBK TG153 SthPc,'4RBK TG505 AU,'4RBK TG3802 NSW,'4RBK TG3804 Qld,,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK4RBT GldCst,'4RBT TG1 WW Call,'4RBT TG8 StatWid,'4RBTTG9 S1 Locl,'4RBT TG13 WWE,'4RBT TG113 UA,'4RBT TG123 UA,'4RBT TG133 USA,'4RBT TG143 UK,'4RBT TG153 SthPc,'4RBT TG505 AU,'4RBT TG3801 ACT,'4RBT TG3802 NSW,'4RBT TG3803 Vic,'4RBT TG3804 Qld,'4RBT TG 3805 SA,'4RBT TG3806 WA,'4RBT TG3807 Tas,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK4RBX,'4RBX TG1 WW CALL,'4RBX TG3801 ACT,'4RBX TG8 QLD S1,'4RBX TG9 S1 LOC,'4RBX TG13 WWE,'4RBX TG113 UA,'4RBX TG123 UA,'4RBX TG153 SthPc,'4RBX TG505 AU,'4RBX TG3802 NSW,'4RBX TG3804 Qld,'4RBX TG3805 SA,'4RBX TG3806 WA,'4RBX TG3807 Tas,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK4RNX,'4RNX TG1 WW CALL,'4RNX TG3801 ACT,'4RNX TG8 QLD S1,'4RNX TG9 S1 LOC,'4RNX TG13 WWE,'4RNX TG113 UA,'4RNX TG123 UA,'4RNX TG153 SthPc,'4RNX TG505 AU,'4RNX TG3802 NSW,'4RNX TG3804 Qld,'4RNX TG3805 SA,'4RNX TG3806 WA,'4RNX TG3807 Tas,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'4RCN BM,'4RCN DMR+ TG8,'4RCN bm505001 Lc,'4RCN bm505 AU,'4RCN bm5050 XRF,'4RCN bm5052 NSW,'4RCN bm5054 QLD,'4RCN bm95 AU/NZ,'4RCN bm50599 YSF,'4RCN bm91 WW,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'4TUX BM,'4TUX bm95 AU/NZ,'4TUX bm913 WWE,'4TUX bm505 AU,'4TUX bm5051 ACT,'4TUX bm5052 NSW,'4TUX bm5054 QLD,'4TUX bm505001 Lc,'4TUX bm50599 YSF,'4TUX bm923 EU E,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'4TCA BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK5RSF,'5RSF TG1 WW Call,'5RSF TG5 VK Bcst,'5RSF TG8 S1 SA,'5RSF TG8 S2 LOC,'5RSF TG9 S1 LOC,'5RSF TG113 UA,'5RSF TG123 UA,'5RSF TG13 WWE,'5RSF TG133 USA,'5RSF TG143 UK,'5RSF TG153 SthPc,'5RSF TG3806 WA,'5RSF TG3801 ACT,'5RSF TG3802 NSW,'5RSF TG3803 Vic,'5RSF TG3804 Qld,'5RSF TG3805 SA,'5RSF TG3807 Tas,VK5RAD Crafers,,,,,,,,,,,,,None,None,Last, 20, 8,
VK6RDM,'6RDM TG1 WW,'6RDM TG5 VK Nets,'6RDM TG9 Local,'6RDM TG9 ts2,'6RDM TG13 WWE,'6RDM TG113 UA E1,'6RDM TG123 UA E2,'6RDM TG133 USA,'6RDM TG143 UK,'6RDM TG153 SthPc,'6RDM TG3805 SA,'6RDM TG3806 WA,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK6RLM,'6RLM TG1 WW,'6RLM TG5 AU Nets,'6RLM TG9 ts1,'6RLM TG9 ts2,'6RLM TG13 WWE,'6RLM TG113 UA E1,'6RLM TG123 UA E2,'6RLM TG133 USA,'6RLM TG143 UK,'6RLM TG153 SthPc,'6RLM TG3809,'6RLM TG3801 ACT,'6RLM TG3802 NSW,'6RLM TG3803 Vic,'6RLM TG3804 Qld,'6RLM TG3805 SA,'6RLM TG3806 WA,'6RLM TG3807 Tas,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK6RLX,'6RLX TG1 WW,'6RLX TG5 AU Nets,'6RLX TG9 ts1,'6RLX TG9 ts2,'6RLX TG13 WWE,'6RLX TG113 UA,'6RLX TG123 UA,'6RLX TG133 USA,'6RLX TG143 UK,'6RLX TG153 SthPc,'6RLX TG505 VK,'6RLX TG3802 NSW,'6RLX TG3603 Vic,'6RLX TG3805 SA,'6RLX TG3806 WA,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VL6RPT,'6RPT TG1 WW,'6RPT TG5 AU Nets,'6RPT TG9 ts1,'6RPT TG9 ts2,'6RPT TG13 WWE,'6RPT TG113 UA,'6RPT TG123 UA,'6RPT TG133 USA,'6RPT TG143 UK,'6RPT TG153 SthPc,'6RPT TG505 VK,'6RPT TG3802 NSW,'6RPT TG3603 Vic,'6RPT TG3805 SA,'6RPT TG3806 WA,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK6RRR,'6RRR TG1 WW,'6RRR TG5 AU Nets,'6RRR TG9 ts1,'6RRR TG9 ts2,'6RRR TG13 WWE,'6RRR TG113 UA,'6RRR TG123 UA,'6RRR TG133 USA,'6RRR TG143 UK,'6RRR TG153 SthPc,'6RRR TG3805 SA,'6RRR TG3806 WA,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
'6RGF BM,'6RGF bm91 WW,'6RGF DMR+ TG8,'6RGF bm50566WICN,'6RGF bm913 WWE,'6RGF bm923 EU E,'6RGF bm95 AU/NZ,'6RGF bm505 AU,'6RGF bm5050 XLS,'6RGF bm5051 ACT,'6RGF bm5052 NSW,'6RGF bm5053 Vic,'6RGF bm5054 Qld,'6RGF bm5055 SA,'6RGF bm5056 WA,'6RGF bm5057 Tas,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK7RCR,'7RCR TG1 WW Call,'7RCR TG5 VK Bcst,'7RCR TG8 S1 TAS,'7RCR TG8 S2 LOC,'7RCR TG9 S1 LOC,'7RCR TG113 UA,'7RCR TG123 UA,'7RCR TG153 SthPc,'7RCR TG3804 Qld,'7RCR TG3801 ACT,'7RCR TG3802 NSW,'7RCR TG3803 VIC,'7RCR TG3805 SA,'7RCR TG3807 Tas,'7RCR TG3806 WA,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK7RAA,'7RJG TG1 WW,'7RJG TG5 VK Bcst,'7RJG TG8 S1 TAS,'7RJG TG8 S2 LOC,'7RJG TG9 LOC,'7RJG TG13 WWE,'7RJG TG113 UA,'7RJG TG123 UA,'7RJG TG153 SthPc,'7RJG TG3804 Qld,'7RJG TG3801 ACT,'7RJG TG3802 NSW,'7RJG TG3803 Vic,'7RJG TG3805 SA,'7RJG TG3807 Tas,'7RJG TG3806 WA,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
Analog ACT,VK1RGI Ginnini,VK1RBM Issacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'4RMC TG13 WWE,None,Last, 20, 8,
Analog Ade +DMR,VK5RAD Crafers,VK5RSB Sumrtn,VK5RSC MtTrble,VK5ROC LowrLght,VK5RSA Adelaide,VK5ZSN Balloon,VK5RLZ Elizabht,'5RSF TG1 WW Call,'5RSF TG5 VK Bcst,'5RSF TG13 WWE,'5RSF TG8 S1 SA,'5RSF TG8 S2 LOC,'5RSF TG9 S1 LOC,'5RSF TG153 SthPc,'5RSF TG505 AU,'5RSF TG3806 WA,'5RSF TG3805 SA,,,,,,,,,,,,,,,None,None,Last, 20, 8,
Analog NE Vic,NE Vic Scan,CB10 4WD convoy,CB15,CB18 Cvan convoy,CB40 Truckies,VK3RAY Albury,VK3RNE BigBen,VK3RNU Wang,VK2RWB Mulwala,VK3RSU ChsnVale,,,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
Analog Syd,VK2RBV Sydney,VK2RMB TerryHill,VK2RWS BerowraNt,VK2RHT Chatswood,VK2RBM Lawson1,VK2RLE Engadine,VK2RCF Carlingfd,VK2RRS Lewisham,VK2RWI Dural,VK2RHC Hurstvill,VK2ROT Paddingtn,VK2RWI Dural1,VK2RFG Cambltwn,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
Goulbn,DVm YSF 50599,DMR 439.2 S1,FM 438.7 Simplex,VK2RHR HRange,VK2RGN MtGray,,,,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
CB,CB20,CB30 EmgB'cast,CB40 Truckies,CB25,CB26,CB17,CB18 Cvan convoy,CB09,CB10 4WD convoy,CB11,CB12,CB13,CB14,CB15,CB16,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
Home,CB15,FM 438.7 Simplex,VK1RGI Ginnini,VK1RBM Issacs,'1RMB TG3806 WA,'1RMB TG3801 ACT,DVm 505,Z1 bm 505,DVm 31665,DVm YSF 50599,DV4 TG9 S1,,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
DVhotspot,DVm 9s2,DVm 505,DV4 TG9 S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
'2RHX bm Ncstl,'2RHX DMR+ TG8,'2RHX bm505001 Lc,'2RHX bm505 AU,'2RHX bm5051 ACT,'2RHX bm5052 NSW,'2RHX bm5053 Vic,'2RHX bm5054 Qld,'2RHX bm5055 SA,'2RHX bm5056 WA,'2RHX bm5057 Tas,'2RHX bm50599,'2RHX bm95 PacRim,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
'2RAB bm CrtlCst,'2RAG DMR+ TG8,'2RAG bm505001 Lc,'2RAG bm505 AU,'2RAG bm5051 ACT,'2RAG bm5052 NSW,'2RAG bm5053 Vic,'2RAG bm5054 Qld,'2RAG bm5055 SA,'2RAG bm5056 WA,'2RAG bm5057 Tas,'2RAG bm50599,'2RAG bm95 PacRim,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
'2RTH bm TwdHd,'2RTH DMR+ TG8,'2RTH bm505001 Lc,'2RTH bm505 AU,'2RTH bm5051 ACT,'2RTH bm5052 NSW,'2RTH bm5053 Vic,'2RTH bm5054 Qld,'2RTH bm5055 SA,'2RTH bm5056 WA,'2RTH bm5057 Tas,'2RTH bm50599,'2RTH bm95 PacRim,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
